screenshot,position,status,best_name,best_score,second_name,second_score,gap,candidate_saved,candidate_file
42,3,card_surface,JD,0.790,JS,0.787,0.003,no,
42,4,card_surface,8S,0.720,KS,0.711,0.009,no,
43,0,card_surface,JS,0.973,JD,0.795,0.178,no,
43,1,card_surface,9C,0.803,TS,0.619,0.184,no,
43,2,card_surface,QC,0.834,QD,0.784,0.050,no,
43,3,card_surface,AS,0.966,JS,0.888,0.077,no,
43,4,no_card_surface,,,,,,no,
44,0,card_surface,QS,0.748,QD,0.725,0.023,no,
44,1,card_surface,AD,0.813,AH,0.747,0.066,no,
44,2,card_surface,JD,0.695,JH,0.645,0.050,no,
44,3,card_surface,8S,0.889,8D,0.881,0.008,no,
44,4,card_surface,3D,0.784,2H,0.619,0.165,no,
45,0,card_surface,JS,0.955,JD,0.796,0.159,no,
45,1,card_surface,QD,1.000,QS,0.991,0.008,yes,QD__SS45_board1_s1.000_g0.008.png
45,2,card_surface,5H,0.430,TS,0.424,0.007,no,
45,3,card_surface,3D,0.612,2H,0.603,0.009,no,
45,4,card_surface,TS,0.740,9C,0.683,0.056,no,
46,0,card_surface,JH,0.725,5H,0.700,0.026,no,
46,1,card_surface,5H,0.987,5D,0.783,0.204,no,
46,2,card_surface,7D,0.772,7S,0.770,0.002,no,
46,3,card_surface,2H,0.797,KC,0.772,0.024,no,
46,4,card_surface,QS,0.978,JS,0.782,0.196,no,
47,0,card_surface,3H,0.985,5H,0.701,0.283,no,
47,1,card_surface,8S,0.879,8D,0.847,0.032,no,
47,2,card_surface,KC,0.741,2H,0.716,0.024,no,
47,3,card_surface,2C,0.991,3D,0.715,0.276,no,
47,4,card_surface,2C,0.850,3H,0.762,0.088,no,
48,0,card_surface,KS,0.735,8S,0.729,0.006,no,
48,1,card_surface,2C,0.851,3H,0.762,0.089,no,
48,2,card_surface,7C,0.621,7S,0.606,0.014,no,
48,3,card_surface,2C,0.983,6C,0.778,0.206,no,
48,4,card_surface,TS,0.874,AH,0.775,0.099,no,
49,0,card_surface,TH,0.951,JH,0.928,0.024,no,
49,1,card_surface,QC,0.996,QD,0.803,0.193,no,
49,2,card_surface,6S,0.826,7S,0.788,0.037,no,
49,3,card_surface,TH,0.744,9C,0.643,0.101,no,
49,4,card_surface,AH,0.848,AD,0.766,0.082,no,
50,0,card_surface,4D,0.891,7D,0.888,0.003,no,
50,1,card_surface,6C,0.867,6S,0.759,0.108,no,
50,2,card_surface,3D,0.689,KC,0.664,0.025,no,
50,3,card_surface,KS,0.807,QS,0.753,0.053,no,
50,4,card_surface,3H,0.734,5H,0.725,0.009,no,
51,0,card_surface,2H,0.802,JS,0.711,0.091,no,
51,1,card_surface,9C,0.840,5D,0.678,0.162,no,
51,2,card_surface,8H,0.738,TH,0.603,0.135,no,
51,3,card_surface,5D,0.718,9C,0.662,0.057,no,
51,4,card_surface,8S,0.667,6C,0.643,0.023,no,
52,0,card_surface,KC,0.988,QC,0.746,0.242,no,
52,1,card_surface,JS,0.703,JD,0.691,0.012,no,
52,2,card_surface,AD,0.784,AH,0.707,0.077,no,
52,3,card_surface,5D,0.885,5H,0.708,0.177,no,
52,4,card_surface,TS,0.788,TH,0.724,0.064,no,
